"Time","placeholder","default"
0,,0.28357757103344233
1,,0.2843652649912914
2,,0.29893446687920666
3,,0.30318138922418514
4,,0.3164948199815366
5,,0.3185414385863827
6,,0.33502719323532243
7,,0.32780959342165356
8,,0.3455349172066237
9,,0.3597311522048368
10,,0.36619584360690416
11,,0.3855877071823203
12,,0.38094394091977185
13,,0.3902661175086156
14,,0.39478906652913903
15,,0.41503653632240944
16,,0.429706081081081
17,,0.4294050653865258
18,,0.43242908146705633
19,,0.4294939835338823
20,,0.44780812982260754
21,,0.44920440675279405
22,,0.44742431384475007
23,,0.439506087995817
24,,0.43487931410303005
25,,0.4391080179788313
26,,0.4335657379035132
27,,0.44659299873471103
28,,0.4557546401711172
29,,0.45454405073762594
30,,0.4644065414245168
31,,0.45363631450959196
32,,0.4598338856949614
33,,0.4599828219159105
34,,0.4557190286733434
35,,0.460152928416486
36,,0.459902518720218
37,,0.46234284568602574
38,,0.4651014267185472
39,,0.4685905069422021
40,,0.4775355595207748
41,,0.48366265989586693
42,,0.4895461778371839
43,,0.4932908095867143
44,,0.48967266322807906
45,,0.48578904841817394
46,,0.47568906136308503
47,,0.4746348751789826
48,,0.478283045070067
49,,0.4807643979057589
50,,0.4879920219396658
51,,0.4955569360750452
52,,0.48763600854440037
53,,0.49136129382656435
54,,0.48023252997456706
55,,0.4876744726383369
56,,0.4852754469171836
57,,0.4914385117178058
58,,0.49392138249969586
59,,0.49960425426663385
60,,0.5004482716201255
61,,0.5075035295561967
62,,0.5041452145214523
63,,0.479704684317719
64,,0.48593418575971964
65,,0.48261191347753757
66,,0.49346641988365963
67,,0.49402539724752353
68,,0.504221087098887
69,,0.5054579105239647
70,,0.5020667418562994
71,,0.48880065897858316
72,,0.4740775615730031
73,,0.49253311573507425
74,,0.4936214414294287
75,,0.4886043392504931
76,,0.4993028032195396
77,,0.4915486337250458
78,,0.5104261384401725
79,,0.48302245746691863
80,,0.493714711137582
81,,0.5014466646172762
82,,0.5064614686531049
83,,0.49578186060075824
84,,0.4959479443951495
85,,0.49951667414386147
86,,0.49188915349642787
87,,0.4785414012738855
88,,0.4860715983577036
89,,0.47978460446967
90,,0.4923526123414324
91,,0.4966987701881759
92,,0.48268431771894094
93,,0.47987758246375817
94,,0.4635522346755225
95,,0.476239109523155
96,,0.4705362649914332
97,,0.463067830389664
98,,0.4516478647427487
99,,0.4378420118343199
100,,0.4437953995157386
101,,0.443276799044491
102,,0.44219141417938523
103,,0.4388855498243253
104,,0.4372933240288437
105,,0.4416112111485164
106,,0.4532948510736553
107,,0.4515858738303655
108,,0.4486670665866828
109,,0.45688581005586587
110,,0.4544319077949652
111,,0.4557894113291373
112,,0.4528400646203555
113,,0.45624681103530096
114,,0.45232365145228226
115,,0.4494964662968312
116,,0.4572209629573286
117,,0.46657684474385086
118,,0.4606109668550479
119,,0.45535408560311263
120,,0.4722680885729099
121,,0.4814662275887303
122,,0.4812542473919525
123,,0.48123067829170973
124,,0.4688371146015125
125,,0.47514768119147704
126,,0.47727183454843025
127,,0.4819733097397336
128,,0.4879492250922508
129,,0.4899078470527328
130,,0.48329003292427414
131,,0.47979209497611086
132,,0.4907723198278952
133,,0.49629723749018484
134,,0.48561198807012435
135,,0.4915106227106225
136,,0.48146629574149374
137,,0.4885299684542586
138,,0.4794312354312355
139,,0.48792447532813943
140,,0.4899773709113355
141,,0.5033759004126168
142,,0.48635606936416187
143,,0.4791770946878863
144,,0.48843396638288605
145,,0.4890200622872455
146,,0.5028245739653444
147,,0.5034092395167024
148,,0.5026151404319924
149,,0.4905907129798902
150,,0.4674971889865937
151,,0.46614348379793424
152,,0.4812183486238536
153,,0.49548002536461627
154,,0.5040735991078893
155,,0.49431482254697273
156,,0.5023883693945806
157,,0.5036817192218559
158,,0.5001255270615886
159,,0.5061241993873573
160,,0.5082536530004259
161,,0.5181394234158031
162,,0.5131563929278451
163,,0.5116588891183149
164,,0.5109935915296742
165,,0.5088446655610838
166,,0.5217148399612026
167,,0.5194702114470691
168,,0.5136252082176569
169,,0.49813435490491215
170,,0.48881767046234054
171,,0.49292994652406413
172,,0.5084726597427608
173,,0.5105448373408772
174,,0.4935475088483531
175,,0.5002221615720523
176,,0.49724584980237174
177,,0.4906581419624215
178,,0.4943045376372535
179,,0.49082509803921603
180,,0.49815880797265044
181,,0.49827944165876126
182,,0.501168526863085
183,,0.4973180351380423
184,,0.4914871439462193
185,,0.48701127846903874
186,,0.49211787648970773
187,,0.49021418317542353
188,,0.4856570506071453
189,,0.4730129983934571
190,,0.4883350660923806
191,,0.48031513703233514
192,,0.4734979619061735
193,,0.4604838684599238
194,,0.46226335819759484
195,,0.46276128060263677
196,,0.47872868217054254
197,,0.4781315254237291
198,,0.4792973695942935
199,,0.4930306279838418
200,,0.49149213611667153
201,,0.48196894670583323
202,,0.46817347509792956
203,,0.48348083744870274
204,,0.4779895494986586
205,,0.4994267589388695
206,,0.5095338345864662
207,,0.4955396209848544
208,,0.4964109347442684
209,,0.479890523921234
210,,0.48933090092618625
211,,0.4815221981402505
212,,0.4760432876712329
213,,0.47795986531986523
214,,0.4807956858779911
215,,0.4747582590456218
216,,0.4757707645582991
217,,0.46246948356807527
218,,0.472971093698558
219,,0.48288544729791544
220,,0.486219876416066
221,,0.4912134992507655
222,,0.4959260230849947
223,,0.4989584143023707
224,,0.503332266120253
225,,0.5114869189738381
226,,0.5023331269349848
227,,0.4947531854061784
228,,0.4956690906830754
229,,0.49188207836875036
230,,0.5036153470185729
231,,0.4979179487179488
232,,0.5045609711462209
233,,0.5110914585260562
234,,0.5043016232771822
235,,0.5138849301271561
236,,0.5321533578773647
237,,0.5312078519070694
238,,0.517842024256603
239,,0.48617039431157116
240,,0.4777258096301651
241,,0.4636083614295346
242,,0.466834461701845
243,,0.46086271805833307
244,,0.4675708071532147
245,,0.4717411227244413
246,,0.4648467441041888
247,,0.47510536304210316
248,,0.4771826569545613
249,,0.48451238538387836
250,,0.4627179235356016
251,,0.4788891712551182
252,,0.49529256105285363
253,,0.48465272905851015
254,,0.4840143051283887
255,,0.4614872719405784
256,,0.46971877272066326
257,,0.48082539682539704
258,,0.4732314067300134
259,,0.46689732612814927
260,,0.4620361629511296
261,,0.46225588940612244
262,,0.4793224012949536
263,,0.46555084625231163
264,,0.47497478155857076
265,,0.46699517755370473
266,,0.46267938434858036
267,,0.4613948344648985
268,,0.4679404736352577
269,,0.46485382637102973
270,,0.47267643434205114
271,,0.47515975286849055
272,,0.4832876675056117
273,,0.47536155106499184
274,,0.46206443129520064
275,,0.47906977978243537
276,,0.4767378745129654
277,,0.47660819661062753
278,,0.4748968080164579
279,,0.49445604286564776
280,,0.502275297225892
281,,0.48348530286016267
282,,0.48892605997931765
283,,0.4931778538665291
284,,0.5005621877465164
285,,0.49617402699515156
286,,0.49993666292802
287,,0.4998103695607624
288,,0.5044708026638625
289,,0.49867060683114545
290,,0.4924708744424925
291,,0.5006631871483764
292,,0.48868159533589495
293,,0.46739730458221007
294,,0.4840359140824646
295,,0.5003913787204927
296,,0.5098080246500101
297,,0.5225073262535287
298,,0.5086021336474901
299,,0.5147085833550743
300,,0.5317575270975511